Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,2410501,2456935,2506147,2550248,2568927,2628083
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,152.2,155.1,158.2,161,162.2,165.9
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,1193907,1215928,1240022,1261877,1272890,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,1216594,1241007,1266125,1288371,1296037,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,34.6,34.8,35,35.3,35.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,36.1,36.3,36.5,36.9,37.3,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,35.4,35.5,35.7,36.1,36.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,1616158,1641328,1669853,1695178,1700999,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,67,66.8,66.6,66.5,66.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,81833,81688,81610,81102,80201,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,83986,85441,86510,86981,87182,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,78169,81436,84819,87648,88824,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,79396,79919,80807,81610,82287,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,93939,93895,94391,93616,91739,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,95058,96444,97829,97988,95499,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,91931,93100,94655,96417,96511,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,83376,86970,90411,93842,95863,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,81329,80844,81131,82421,84539,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,80617,82892,84636,85529,84682,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,72133,72781,73703,75866,79198,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,67087,68764,70449,71544,71383,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,56980,58055,59637,61675,63272,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,51288,51735,52080,52794,53710,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,40406,43064,45196,46855,48079,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,26384,27689,29470,31457,33443,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,15921,16814,17906,19151,20352,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,14074,14397,14782,15381,16126,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.9,6.7,6.6,6.4,6.3,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,7,7,7,6.9,6.8,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6.5,6.7,6.8,6.9,7,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,6.7,6.6,6.5,6.5,6.5,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,7.9,7.7,7.6,7.4,7.2,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,8,7.9,7.9,7.8,7.5,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,7.7,7.7,7.6,7.6,7.6,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,7,7.2,7.3,7.4,7.5,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,6.8,6.6,6.5,6.5,6.6,
